FREQ;Frekvens;BASE_CUR;Basisvaluta;QUOTE_CUR;Kvoteringsvaluta;TENOR;Løpetid;DECIMALS;CALCULATED;UNIT_MULT;Multiplikator;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1974;5,5257
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1975;5,2283
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1976;5,4565
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1977;5,3232
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1978;5,2417
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1979;5,064
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1980;4,9394
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1981;5,7461
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1982;6,4729
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1983;7,3018
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1984;8,1694
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1985;8,5856
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1986;7,3974
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1987;6,7355
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1988;6,5262
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1989;6,9078
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1990;6,2544
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1991;6,4889
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1992;6,206
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1993;7,106
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1994;7,0521
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1995;6,3369
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1996;6,4543
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1997;7,0788
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1998;7,5465
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;1999;7,8047
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2000;8,8058
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2001;8,9879
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2002;7,9702
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2003;7,0824
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2004;6,7372
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2005;6,445
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2006;6,418
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2007;5,86
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2008;5,6361
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2009;6,2817
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2010;6,0453
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2011;5,6074
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2012;5,821
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2013;5,8768
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2014;6,3019
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2015;8,0739
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2016;8,3987
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2017;8,263
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2018;8,1338
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2019;8,8037
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2020;9,4004
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2021;8,5991
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2022;9,6245
A;Årlig;USD;Amerikanske dollar;NOK;Norske kroner;SP;Spot;4;false;0;Enheter;A;Gjennomsnitt av observasjoner gjennom perioden;2023;10,5647
